index,path,title,size_bytes,size_human,git_blob_sha1,object_format,license_status,redistribution_approved,import_recommendation,import_reason,exact_duplicate_of,probable_duplicate_of,ocr_need_estimate,ocr_estimate_confidence,language_estimate,blob_api_url,raw_url
1,Active Visual Inference of Surface Shape - Roberto Cipolla.pdf,Active Visual Inference of Surface Shape - Roberto Cipolla,18328934,17.5 MiB,77f32883c7d7a5a66acc4b787afd9ff863f2a41a,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/77f32883c7d7a5a66acc4b787afd9ff863f2a41a,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Active%20Visual%20Inference%20of%20Surface%20Shape%20-%20Roberto%20Cipolla.pdf
2,Adaptive Motion of Animals and Machines - Hiroshi Kimura et al (Eds).pdf,Adaptive Motion of Animals and Machines - Hiroshi Kimura et al (Eds),8111394,7.7 MiB,1774251ca4f33bc5103e689c1634501a8c4dd6a1,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/1774251ca4f33bc5103e689c1634501a8c4dd6a1,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Adaptive%20Motion%20of%20Animals%20and%20Machines%20-%20Hiroshi%20Kimura%20et%20al%20%28Eds%29.pdf
3,Advances in Robot Kinematics - Jadran Lenarcic and Bernard Roth (Eds).pdf,Advances in Robot Kinematics - Jadran Lenarcic and Bernard Roth (Eds),29892830,28.5 MiB,0d3e3163c5d2bfed489725eb1bff7930b36c8399,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/0d3e3163c5d2bfed489725eb1bff7930b36c8399,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Advances%20in%20Robot%20Kinematics%20-%20Jadran%20Lenarcic%20and%20Bernard%20Roth%20%28Eds%29.pdf
4,Amphibionics Build Your Own Biologically Inspired Reptilian Robot - Karl Williams.pdf,Amphibionics Build Your Own Biologically Inspired Reptilian Robot - Karl Williams,6296206,6.0 MiB,0d1f2f3ed6b5a6e597cd4a1ed801a5fa1f9ebea6,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/0d1f2f3ed6b5a6e597cd4a1ed801a5fa1f9ebea6,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Amphibionics%20Build%20Your%20Own%20Biologically%20Inspired%20Reptilian%20Robot%20-%20Karl%20Williams.pdf
5,An Introduction to MEMs Engineering - Nadim Maluf and Kirt Williams.pdf,An Introduction to MEMs Engineering - Nadim Maluf and Kirt Williams,4432175,4.2 MiB,cf59751c57c8fc7141392a566adbed46bff82be5,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/cf59751c57c8fc7141392a566adbed46bff82be5,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/An%20Introduction%20to%20MEMs%20Engineering%20-%20Nadim%20Maluf%20and%20Kirt%20Williams.pdf
6,Anatomy of a Rrobot - Charles M Bergren.pdf,Anatomy of a Rrobot - Charles M Bergren,4615264,4.4 MiB,7115467c315368679c004fe3cfae11e2eb3f33d7,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/7115467c315368679c004fe3cfae11e2eb3f33d7,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Anatomy%20of%20a%20Rrobot%20-%20Charles%20M%20Bergren.pdf
7,Artificial Mind System – Kernel Memory Approach - Tetsuya Hoya.pdf,Artificial Mind System – Kernel Memory Approach - Tetsuya Hoya,6495782,6.2 MiB,1d4823c816b7e6c29af8e38fe3f56cda91c88452,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/1d4823c816b7e6c29af8e38fe3f56cda91c88452,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Artificial%20Mind%20System%20%E2%80%93%20Kernel%20Memory%20Approach%20-%20Tetsuya%20Hoya.pdf
8,Autonomous Mobile Robots - Shuzhi Sam Ge & Frank L Lewis.pdf,Autonomous Mobile Robots - Shuzhi Sam Ge & Frank L Lewis,26297158,25.1 MiB,edda84b8d006fe8a0cef4d944e76393dcf29ffd9,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/edda84b8d006fe8a0cef4d944e76393dcf29ffd9,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Autonomous%20Mobile%20Robots%20-%20Shuzhi%20Sam%20Ge%20%26%20Frank%20L%20Lewis.pdf
9,Autonomous Robotic Systems - Anibal T. de Almeida and Oussama Khatib (Eds).pdf,Autonomous Robotic Systems - Anibal T. de Almeida and Oussama Khatib (Eds),17152472,16.4 MiB,c8cbd10875ec837ade7dc969967ce67015ce6322,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/c8cbd10875ec837ade7dc969967ce67015ce6322,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Autonomous%20Robotic%20Systems%20-%20Anibal%20T.%20de%20Almeida%20and%20Oussama%20Khatib%20%28Eds%29.pdf
10,Bio-MEMS Technologies and Applications - Wang and Soper (Eds).pdf,Bio-MEMS Technologies and Applications - Wang and Soper (Eds),9187356,8.8 MiB,16ce9aefd986c8b14e78f68452fcf85837d2e6e1,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/16ce9aefd986c8b14e78f68452fcf85837d2e6e1,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Bio-MEMS%20Technologies%20and%20Applications%20-%20Wang%20and%20Soper%20%28Eds%29.pdf
11,Biomimetics - Biologically Inspired Technologies - Yoseph Bar Cohen.pdf,Biomimetics - Biologically Inspired Technologies - Yoseph Bar Cohen,16393692,15.6 MiB,319b5259bcad759e538c7a0fbee7a8da2043b585,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/319b5259bcad759e538c7a0fbee7a8da2043b585,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Biomimetics%20-%20Biologically%20Inspired%20Technologies%20-%20Yoseph%20Bar%20Cohen.pdf
12,Build Your Own Combat Robot - Pete Miles.pdf,Build Your Own Combat Robot - Pete Miles,7974391,7.6 MiB,3f5357f16bbfb9b7f5df1bca6b06563b66dd7b92,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/3f5357f16bbfb9b7f5df1bca6b06563b66dd7b92,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Build%20Your%20Own%20Combat%20Robot%20-%20Pete%20Miles.pdf
13,Build a Remote Controlled Robot - David R Shircliff.pdf,Build a Remote Controlled Robot - David R Shircliff,1869979,1.8 MiB,2af92ee66a018db9ca1953ae2aeff6c7e5e0a148,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,likely_text_native,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/2af92ee66a018db9ca1953ae2aeff6c7e5e0a148,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Build%20a%20Remote%20Controlled%20Robot%20-%20David%20R%20Shircliff.pdf
14,CNC Robotics - Geoff Williams.pdf,CNC Robotics - Geoff Williams,58545426,55.8 MiB,f2b17200c65061a7e7b7e145b5b1f81ccc24e446,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,likely_scanned_or_image_heavy,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/f2b17200c65061a7e7b7e145b5b1f81ccc24e446,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/CNC%20Robotics%20-%20Geoff%20Williams.pdf
15,CRC Press - Mechanical Engineering Handbook - Robotics.pdf,CRC Press - Mechanical Engineering Handbook - Robotics,1620449,1.5 MiB,add17d77268146b0f4540b1e767a8232a55924d0,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,likely_text_native,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/add17d77268146b0f4540b1e767a8232a55924d0,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/CRC%20Press%20-%20Mechanical%20Engineering%20Handbook%20-%20Robotics.pdf
16,CRC Press - Opto-Mechatronic Systems Handbook.pdf,CRC Press - Opto-Mechatronic Systems Handbook,57015311,54.4 MiB,ef45f3324e3b5bf6c06038dc562b706f15af513b,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,likely_scanned_or_image_heavy,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/ef45f3324e3b5bf6c06038dc562b706f15af513b,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/CRC%20Press%20-%20Opto-Mechatronic%20Systems%20Handbook.pdf
